Wallet,Chain,Protocol,Type,Strategy,Health Rate,Net USD,Asset USD,Debt USD,Supply Tokens,Borrow Tokens,Reward Tokens
0xc468315a2df54f9c076bD5Cfe5002BA211F74CA6,eth,Aave V3,Lending,loop,1.034,26499421.62,264531071.97,238031650.35,"USDe: 264,610,455.105 ($264.53M)","USDC: 129,008,434.125 ($129.07M) + USDT: 109,006,642.662 ($108.96M)",""
0x920EefBCf1f5756109952E6Ff6dA1Cab950C64d7,mnt,Aave V3,Lending,loop,1.023,18681617.22,185612238.54,166930621.32,"sUSDe: 151,640,170 ($185.61M)","USDT0: 166,990,717.937 ($166.93M) + USDC: 20.033 ($0.00M)",""
0xc468315a2df54f9c076bD5Cfe5002BA211F74CA6,plasma,Aave V3,Lending,loop,1.035,13248465.65,130207124.02,116958658.37,"USDe: 130,246,197.877 ($130.21M)","USDT0: 117,010,142.833 ($116.96M)",""
0x3207363359Ca0c11D11073aD48301E8c958B7910,plasma,Aave V3,Lending,loop,1.024,12817681.48,127990973.59,115173292.11,"SYRUPUSDT: 114,384,265.554 ($127.99M)","USDT0: 115,223,990.665 ($115.17M)",""
0xc468315a2df54f9c076bD5Cfe5002BA211F74CA6,eth,Ethena,Locked,stake,,6244702.06,6244702.06,0,"USDe: 6,246,576.033 ($6.24M)","",""
0x920EefBCf1f5756109952E6Ff6dA1Cab950C64d7,ink,Aave V3,Lending,loop,1.024,5619864.98,55548962.5,49929097.52,"sUSDe: 45,399,846.459 ($55.55M)","USDT0: 38,429,929.859 ($38.42M) + USDC: 11,515,449.248 ($11.51M)",""
0x7bee8D37FBA61a6251a08b957d502C56E2A50FAb,base,Aave V3,Lending,loop,1.031,4822228.58,44590226.74,39767998.16,"SYRUPUSDC: 38,524,417.032 ($44.59M)","USDC: 39,748,114.161 ($39.77M)",""
0x920EefBCf1f5756109952E6Ff6dA1Cab950C64d7,eth,Aave V3,Lending,loop,1.022,4039997.3,40292011.21,36252013.91,"USDe: 40,304,102.437 ($40.29M)","USDC: 1,276,324.03 ($1.28M) + USDT: 34,990,447.192 ($34.98M)",""
0x3207363359Ca0c11D11073aD48301E8c958B7910,eth,Aave V3,Lending,lend,1.028,3613665.79,3613665.79,0,"USDT: 3,615,256.503 ($3.61M)","",""
0x7bee8D37FBA61a6251a08b957d502C56E2A50FAb,eth,Morpho,Lending,loop,1.06,1690534.87,12336799.14,10646264.27,"USDC: 12,331,864.417 ($12.34M)","PYUSD: 10,647,329.004 ($10.65M)",""
0x7bee8D37FBA61a6251a08b957d502C56E2A50FAb,eth,Morpho,Lending,lend,1.061,1666271.48,1666271.48,0,"USDC: 1,665,438.341 ($1.67M)","",""
0x7bee8D37FBA61a6251a08b957d502C56E2A50FAb,arb,Morpho,Lending,loop,1.056,1166809.23,8744912.67,7578103.43,"SYRUPUSDC: 7,555,302.746 ($8.74M)","USDC: 7,574,314.381 ($7.58M)",""
0x7bee8D37FBA61a6251a08b957d502C56E2A50FAb,arb,Morpho,Lending,loop,1.07,324570.56,2233886.68,1909316.12,"SYRUPUSDC: 1,930,001 ($2.23M)","USDT: 1,910,003.722 ($1.91M)",""